"ticket_id","order_id","customer_id","complaint_text","category","severity","sentiment","resolution_summary","action_taken","refund_amount","replacement_given","compensation_given","policy_sections_applied","agent_notes","resolution_time_hours","customer_satisfaction","resolved_by","resolution_status"
"TCK1056","OD424825305","CUS0232","The box for order OD424825305 felt very light and when I opened it, one of the items was simply not there.","Damaged Product","Medium","Frustrated","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Escalated to senior team for final approval","₹0","Yes","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","26.3","2","Supervisor","Resolved after escalation"
"TCK1057","OD645276696","CUS0116","Sir maine LG 55 inch OLED TV order kiya tha, aapne to koi aur cheez bhej di hai bilkul different, order id OD645276696","Refund Request","Medium","Neutral","Verified refund request for the ordered item; refund of ₹946.00 processed to original payment method.","Refund of ₹946.00 issued to source payment method","₹946.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","6.4","4","Supervisor","Resolved"
"TCK1058","OD334978881","CUS0089","Order OD334978881 shows payment pending since yesterday, meanwhile my account has been debited Rs 1999, please resolve.","Damaged Product","High","Angry","Investigation into the the ordered item complaint found the claim did not meet policy criteria for damaged product; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Gold tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 4.1, Section 10.3","34.8","2","Duty Manager","Rejected"
"TCK1059","OD291825997","CUS0091","kharab product mila mujhe, poora tuta hua tha jab khola, order number OD291825997, paisa wapas chahiye ya replace karo turant","Payment Failure","Medium","Neutral","Verified payment failure for the ordered item; refund of ₹2,480.00 processed to original payment method.","Refund of ₹2,480.00 issued to source payment method; Escalated to senior team for final approval","₹2,480.00","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","65.5","4","Supervisor","Resolved after escalation"
"TCK1060","OD568213197","CUS0062","I returned my Crompton room heater 10 days ago (order OD568213197) but still haven't received my refund of Rs 249.","Refund Request","Low","Neutral","Verified refund request for Crompton room heater; refund of ₹1,066.00 processed to original payment method.","Refund of ₹1,066.00 issued to source payment method; Escalated to senior team for final approval","₹1,066.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","6.6","3","AI Agent","Resolved after escalation"
"TCK1061","OD889262019","CUS0122","Getting no response on refund query for order OD889262019. This delay is really testing my patience with this platform.","Late Delivery","Low","Frustrated","Reviewed late delivery complaint for the ordered item; resolved with Shipping Refund as goodwill compensation.","Compensation applied: Shipping Refund; Escalated to senior team for final approval","₹0","No","Shipping Refund","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Case value/severity required supervisor sign-off before resolution; Applied under Section 3.2","3.6","3","AI Agent","Resolved after escalation"
"TCK1062","OD800235246","CUS0220","Ordered a LG 55 inch OLED TV for my son's birthday but recieved totally different product, extremely disappointed, order OD800235246","Damaged Product","High","Angry","Verified damaged product for the ordered item; refund of ₹802.00 processed to original payment method.","Refund of ₹802.00 issued to source payment method; Compensation applied: ₹200 coupon","₹802.00","No","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Applied under Section 4.1, Section 10.3","66.1","5","Supervisor","Resolved"
"TCK1063","OD102314313","CUS0203","very poor quality control, sent me a used/different phone model instead of the new one i ordered, order ref OD102314313","Wrong Product","Medium","Frustrated","Verified wrong product for the ordered item; refund of ₹29,780.00 processed to original payment method.","Refund of ₹29,780.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹29,780.00","No","Shipping Refund","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for the ordered item; Applied under Section 4.1, Section 10.3","26.1","3","Supervisor","Cancelled"
"TCK1064","OD870530217","CUS0019","i think warehouse forgot to pack one item, order OD870530217, im missing the Wooden dining table set i paid extra for","Missing Product","High","Angry","Investigation into the Wooden dining table set complaint found the claim did not meet policy criteria for missing product; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 4.1, Section 10.3","Courier weight/tracking data supports customer's claim of incomplete shipment; Gold tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 4.1, Section 10.3","26.2","1","Duty Manager","Rejected"
"TCK1065","OD314289692","CUS0241","mera refund kaha hai? order OD314289692 ka paisa abhi tak wapas nahi mila, customer care bhi sahi jawab nahi de raha","Payment Failure","High","Angry","Reviewed payment failure complaint for the ordered item; resolved with ₹0 as goodwill compensation.","Escalated to senior team for final approval","₹0","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","23.8","4","Supervisor","Resolved after escalation"
"TCK1066","OD299528037","CUS0025","Received the wrong product entirely, expected Nike Air Zoom running shoes but got some random household item, order OD299528037. Need exchange urgently.","Wrong Product","High","Frustrated","Confirmed wrong product for Nike Air Zoom running shoes; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched","₹0","Yes","₹0","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for Nike Air Zoom running shoes; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","49.3","5","Supervisor","Resolved"
"TCK1067","OD480424119","CUS0041","opened box, found item leaking/broken, order OD480424119, please arrange pickup and refund my Rs 12999 immediately","Refund Request","High","Angry","Verified refund request for the ordered item; refund of ₹373.00 processed to original payment method.","Refund of ₹373.00 issued to source payment method; Escalated to senior team for final approval","₹373.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","84.8","4","Supervisor","Resolved after escalation"
"TCK1068","OD930075810","CUS0203","3rd time this month my delivery is late!! order OD930075810 — you guys need to fix your logistics network seriously.","Late Delivery","Medium","Frustrated","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Applied under Section 3.2","32.0","4","Supervisor","Resolved"
"TCK1069","OD398704996","CUS0110","This is the third reminder I am sending about order OD398704996. Delivery is delayed by 2 days and customer support has been unhelpful.","Late Delivery","Medium","Neutral","Investigation into the the ordered item complaint found the claim did not meet policy criteria for late delivery; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 3.2","35.0","1","Supervisor","Rejected"
"TCK1070","OD829223044","CUS0089","mera account hack ho gaya lagta hai, ek order OD829223044 dikh raha hai jo maine kabhi kiya hi nahi tha, Rs 9999 charge hua hai","Late Delivery","Medium","Neutral","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Gold tier customer, prioritized per loyalty policy; Applied under Section 3.2","27.2","4","Supervisor","Resolved"
"TCK1071","OD561588882","CUS0039","account se paisa kat gaya but order confirm nahi hua, phir bhi statement me charge show ho raha hai, order id OD561588882","Payment Failure","High","Angry","Verified payment failure for the ordered item; refund of ₹46,111.00 processed to original payment method.","Refund of ₹46,111.00 issued to source payment method","₹46,111.00","No","₹0","Section 8.5","Bank/gateway logs showed deduction without order confirmation, refund initiated; Silver tier customer, prioritized per loyalty policy; Applied under Section 8.5","19.4","3","Duty Manager","Resolved"
"TCK1072","OD994310083","CUS0079","Under extended warranty plan purchased with order OD994310083, requesting free repair for the malfunctioning unit.","Warranty Claim","Medium","Frustrated","Verified warranty claim for the ordered item; refund of ₹15,396.00 processed to original payment method.","Refund of ₹15,396.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹15,396.00","No","Shipping Refund","Section 4.1","Product falls within valid warranty period for the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1","4.8","2","Supervisor","Cancelled"
"TCK1073","OD228727266","CUS0106","maine 2 items order kiye the, ek sahi mila ek galat, order number OD228727266, please replace jo galat hai","Late Delivery","Low","Neutral","Reviewed late delivery complaint for the ordered item; resolved with ₹500 Store Credit as goodwill compensation.","Compensation applied: ₹500 Store Credit","₹0","No","₹500 Store Credit","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Gold tier customer, prioritized per loyalty policy; Applied under Section 3.2","5.5","5","AI Agent","Resolved"
"TCK1074","OD389854268","CUS0122","Order no OD389854268, tracking shows delivered but nothing has come to my Kanpur address, and now the delivery date shown is again pushed further.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹2,267.50 processed to original payment method.","Refund of ₹2,267.50 issued to source payment method","₹2,267.50","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Applied under Section 10.3","5.3","4","CSR","Resolved"
"TCK1075","OD165452690","CUS0122","This is the second time I've received a wrong item from your platform! Order OD165452690. Getting really tired of this.","Wrong Product","High","Angry","Verified wrong product for the ordered item; refund of ₹10,901.00 processed to original payment method.","Refund of ₹10,901.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹10,901.00","No","₹200 coupon","Section 4.1, Section 10.3","Order records confirm mismatch between ordered and delivered SKU for the ordered item; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","21.8","2","Duty Manager","Resolved after escalation"
"TCK1076","OD347083812","CUS0041","3rd time ordering this and 3rd time it comes damaged!! order OD347083812. Are your warehouse staff even careful with packing??","Damaged Product","High","Angry","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Gold tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","15.6","5","Duty Manager","Resolved"
"TCK1077","OD739830322","CUS0205","Order OD739830322 for Puma tracksuit - the courier keeps saying 'attempted delivery, customer not available' but nobody even called or came to my house.","Refund Request","Low","Frustrated","Verified refund request for Order OD739830322 for Puma tracksuit; refund of ₹14,595.50 processed to original payment method.","Refund of ₹14,595.50 issued to source payment method","₹14,595.50","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Applied under Section 10.3","9.7","3","AI Agent","Resolved"
"TCK1078","OD420452650","CUS0089","opened box, found item leaking/broken, order OD420452650, please arrange pickup and refund my Rs 64999 immediately","Refund Request","Low","Neutral","Verified refund request for the ordered item; refund of ₹52,449.00 processed to original payment method.","Refund of ₹52,449.00 issued to source payment method; Escalated to senior team for final approval","₹52,449.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","6.5","3","AI Agent","Resolved after escalation"
"TCK1079","OD242224154","CUS0195","my order OD242224154 shows 2 units delivered but I only recieved 1 unit of IKEA study chair, please look into this shortage","Damaged Product","Medium","Neutral","Verified damaged product for IKEA Study Chair; refund of ₹16,992.00 processed to original payment method.","Refund of ₹16,992.00 issued to source payment method; Escalated to senior team for final approval","₹16,992.00","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on IKEA Study Chair; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","12.7","3","CSR","Resolved after escalation"
"TCK1080","OD866162966","CUS0133","Requesting warranty replacement for order OD866162966 as the product developed a fault within the covered period, worth Rs 4999.","Warranty Claim","Medium","Neutral","Confirmed warranty claim for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched","₹0","Yes","₹0","Section 4.1","Product falls within valid warranty period for the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1","19.2","5","Supervisor","Resolved"
"TCK1081","OD590941149","CUS0127","my order OD590941149 shows 2 units delivered but I only recieved 1 unit of OnePlus Nord CE3, please look into this shortage","Late Delivery","Low","Frustrated","Verified late delivery for the ordered item; refund of ₹2,868.00 processed to original payment method.","Refund of ₹2,868.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹2,868.00","No","Shipping Refund","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Applied under Section 3.2","9.6","2","CSR","Cancelled"
"TCK1082","OD527849588","CUS0145","why is my refund stuck in 'under review' for 8 days now, order OD527849588, this is unacceptable","Refund Request","Critical","Angry","Verified refund request for the ordered item; refund of ₹874.50 processed to original payment method.","Refund of ₹874.50 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹874.50","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Platinum tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","147.7","2","Trust & Safety","Resolved after escalation"
"TCK1083","OD679153816","CUS0032","I want to formally complain about the condition of my parcel, order OD679153816. The product was clearly damaged before packing itself.","Damaged Product","Medium","Neutral","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Gold tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","16.2","4","Supervisor","Resolved"
"TCK1084","OD992994062","CUS0092","I am extremely disappointed, opened the package of order OD992994062 to find the Apple iPhone 13 shattered into pieces during transit.","Damaged Product","Critical","Frustrated","Verified damaged product for the ordered item; refund of ₹3,236.00 processed to original payment method.","Refund of ₹3,236.00 issued to source payment method","₹3,236.00","No","₹0","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","65.3","3","Duty Manager","Resolved"
"TCK1085","OD751325257","CUS0061","yeh kya bheja hai aapne, product bilkul tuta hua, packaging bhi weak thi, order OD751325257","Damaged Product","High","Frustrated","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 4.1, Section 10.3","48.5","4","Duty Manager","Resolved after escalation"
"TCK1086","OD443285529","CUS0145","Product stopped functioning after 3 months of normal usage, still within warranty, order ref OD443285529, kindly assist with the claim process.","Warranty Claim","Low","Neutral","Verified warranty claim for the ordered item; refund of ₹2,487.00 processed to original payment method.","Refund of ₹2,487.00 issued to source payment method","₹2,487.00","No","₹0","Section 4.1","Product falls within valid warranty period for the ordered item; Platinum tier customer, prioritized per loyalty policy; Applied under Section 4.1","7.1","4","CSR","Resolved"
"TCK1087","OD624232414","CUS0022","There is an unauthorized transaction of Rs 2999 on my account linked to order OD624232414, I demand an investigation and refund.","Fraud Complaint","High","Frustrated","Verified fraud complaint for the ordered item; refund of ₹1,689.00 processed to original payment method.","Refund of ₹1,689.00 issued to source payment method; Escalated to senior team for final approval","₹1,689.00","No","₹0","Section 8.5","Trust & Safety review of account activity and device/IP logs conducted; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5","115.7","2","Legal Team","Resolved after escalation"
"TCK1088","OD165082363","CUS0090","my order OD165082363 came today for Amazon Basics HDMI cable and half of it is smashed, I've attached photos, please process refund","Refund Request","Medium","Neutral","Verified refund request for the ordered item; refund of ₹854.00 processed to original payment method.","Refund of ₹854.00 issued to source payment method","₹854.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Platinum tier customer, prioritized per loyalty policy; Applied under Section 10.3","15.2","5","Supervisor","Resolved"
"TCK1089","OD810026086","CUS0179","i need this boAt Airdopes earbuds urgently for an event this weekend but order OD810026086 tracking hasnt moved in 9 days, please expedite","Refund Request","Medium","Neutral","Investigation into the At Airdopes earbuds complaint found the claim did not meet policy criteria for refund request; request declined with explanation shared to customer.","Case reviewed and closed as not eligible under policy","₹0","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Evidence insufficient to support claim under company policy; Applied under Section 10.3","23.6","2","CSR","Rejected"
"TCK1090","OD653462378","CUS0203","This is a serious billing error, my card was charged Rs 4999 for an order I never even placed, reference shows OD653462378.","Billing Dispute","High","Angry","Reviewed billing dispute complaint for the ordered item; resolved with ₹200 coupon as goodwill compensation.","Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹0","No","₹200 coupon","Section 8.5, Section 10.3","Payment gateway logs cross-checked to confirm duplicate/incorrect charge; Case value/severity required supervisor sign-off before resolution; Applied under Section 8.5, Section 10.3","47.2","4","Supervisor","Resolved after escalation"
"TCK1091","OD903132646","CUS0227","item ka tag kuch aur hai but jo mila wo kuch aur hai, order OD903132646, samajh nahi aa raha kya bhej diya","Late Delivery","Medium","Neutral","Reviewed late delivery complaint for the ordered item; resolved with Shipping Refund as goodwill compensation.","Compensation applied: Shipping Refund; Escalated to senior team for final approval","₹0","No","Shipping Refund","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 3.2","40.4","3","Supervisor","Resolved after escalation"
"TCK1092","OD600282414","CUS0227","Product stopped functioning after 3 months of normal usage, still within warranty, order ref OD600282414, kindly assist with the claim process.","Warranty Claim","Medium","Frustrated","Confirmed warranty claim for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched","₹0","Yes","₹0","Section 4.1","Product falls within valid warranty period for the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1","9.0","5","CSR","Resolved"
"TCK1093","OD891388192","CUS0195","Please process my refund for order OD891388192 immediately, I cancelled the order before shipping and still no refund of Rs 79999.","Refund Request","High","Angry","Verified refund request for the ordered item; refund of ₹2,895.00 processed to original payment method.","Refund of ₹2,895.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹2,895.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Gold tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","51.9","2","Supervisor","Resolved after escalation"
"TCK1094","OD479759538","CUS0010","This is ridiculous, refund promised in 5-7 business days but it's been 5 days for order OD479759538 and nothing.","Refund Request","Medium","Frustrated","Verified refund request for the ordered item; refund of ₹896.00 processed to original payment method.","Refund of ₹896.00 issued to source payment method; Compensation applied: ₹200 coupon; Escalated to senior team for final approval","₹896.00","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Case value/severity required supervisor sign-off before resolution; Applied under Section 10.3","8.6","2","CSR","Resolved after escalation"
"TCK1095","OD927982963","CUS0056","I returned my Wooden dining table set 10 days ago (order OD927982963) but still haven't received my refund of Rs 1299.","Refund Request","Low","Neutral","Verified refund request for Wooden dining table set; refund of ₹853.50 processed to original payment method.","Refund of ₹853.50 issued to source payment method; Compensation applied: ₹200 coupon","₹853.50","No","₹200 coupon","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","4.6","4","AI Agent","Resolved"
"TCK1096","OD642678844","CUS0154","The box for order OD642678844 felt very light and when I opened it, one of the items was simply not there.","Damaged Product","High","Angry","Confirmed damaged product for the ordered item; replacement unit dispatched to customer at no additional cost.","Replacement unit initiated and dispatched; Compensation applied: ₹200 coupon","₹0","Yes","₹200 coupon","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on the ordered item; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","16.3","4","Supervisor","Resolved"
"TCK1097","OD384602384","CUS0203","Order OD384602384: Upon inspection I found the Croma smart bulb set had internal damage - possibly dropped during handling. Photos attached for reference.","Damaged Product","High","Angry","Verified damaged product for Croma smart bulb set; refund of ₹3,055.00 processed to original payment method.","Refund of ₹3,055.00 issued to source payment method; Compensation applied: ₹500 Store Credit","₹3,055.00","No","₹500 Store Credit","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Croma smart bulb set; Applied under Section 4.1, Section 10.3","36.3","5","Duty Manager","Resolved"
"TCK1098","OD513140753","CUS0179","3rd time this month my delivery is late!! order OD513140753 — you guys need to fix your logistics network seriously.","Late Delivery","Medium","Neutral","Verified late delivery for the ordered item; refund of ₹399.00 processed to original payment method.","Refund of ₹399.00 issued to source payment method; Compensation applied: Shipping Refund; Order cancelled and full refund initiated","₹399.00","No","Shipping Refund","Section 3.2","Actual delivery date exceeded expected delivery SLA per system logs; Silver tier customer, prioritized per loyalty policy; Applied under Section 3.2","18.7","2","Supervisor","Cancelled"
"TCK1099","OD766430218","CUS0237","I want a full refund for order OD766430218 as the product (Fastrack sunglasses) did not meet the description at all.","Refund Request","Low","Frustrated","Verified refund request for the ordered item; refund of ₹403.00 processed to original payment method.","Refund of ₹403.00 issued to source payment method","₹403.00","No","₹0","Section 10.3","Refund request validated against order value and payment confirmation; Silver tier customer, prioritized per loyalty policy; Applied under Section 10.3","5.4","3","CSR","Resolved"
"TCK1100","OD315984311","CUS0116","Order OD315984311 - the Crompton room heater arrived with a big crack on the screen. Worth Rs 4999 and totally unusable now.","Damaged Product","High","Angry","Verified damaged product for Crompton room heater; refund of ₹12,715.00 processed to original payment method.","Refund of ₹12,715.00 issued to source payment method; Compensation applied: ₹500 Store Credit","₹12,715.00","No","₹500 Store Credit","Section 4.1, Section 10.3","Product images/description consistent with in-transit damage on Crompton room heater; Silver tier customer, prioritized per loyalty policy; Applied under Section 4.1, Section 10.3","42.6","3","Duty Manager","Resolved"
